palavra;quantidade;classificação;link
crime;1;ruim;https://g1.globo.com/busca/click?q=energia&p=3&r=1748314180055&u=https%3A%2F%2Fg1.globo.com%2Fto%2Ftocantins%2Fnoticia%2F2025%2F05%2F26%2Fhomem-e-amarrado-com-cabos-de-energia-em-poste-suspeito-de-invadir-casa-e-tentar-furtar-fios-de-energia-diz-pm.ghtml&syn=False&key=83f1cfe05b70dd703c28caf2d70a058f
reprodução;1;bom;https://g1.globo.com/busca/click?q=energia&p=3&r=1748314180055&u=https%3A%2F%2Fg1.globo.com%2Fto%2Ftocantins%2Fnoticia%2F2025%2F05%2F26%2Fhomem-e-amarrado-com-cabos-de-energia-em-poste-suspeito-de-invadir-casa-e-tentar-furtar-fios-de-energia-diz-pm.ghtml&syn=False&key=83f1cfe05b70dd703c28caf2d70a058f
furto;3;ruim;https://g1.globo.com/busca/click?q=energia&p=3&r=1748314180055&u=https%3A%2F%2Fg1.globo.com%2Fto%2Ftocantins%2Fnoticia%2F2025%2F05%2F26%2Fhomem-e-amarrado-com-cabos-de-energia-em-poste-suspeito-de-invadir-casa-e-tentar-furtar-fios-de-energia-diz-pm.ghtml&syn=False&key=83f1cfe05b70dd703c28caf2d70a058f
valor;1;ruim;https://g1.globo.com/busca/click?q=energia&p=3&r=1748314180055&u=https%3A%2F%2Fg1.globo.com%2Fto%2Ftocantins%2Fnoticia%2F2025%2F05%2F26%2Fhomem-e-amarrado-com-cabos-de-energia-em-poste-suspeito-de-invadir-casa-e-tentar-furtar-fios-de-energia-diz-pm.ghtml&syn=False&key=83f1cfe05b70dd703c28caf2d70a058f
furtado;1;ruim;https://g1.globo.com/busca/click?q=energia&p=3&r=1748314180055&u=https%3A%2F%2Fg1.globo.com%2Fto%2Ftocantins%2Fnoticia%2F2025%2F05%2F26%2Fhomem-e-amarrado-com-cabos-de-energia-em-poste-suspeito-de-invadir-casa-e-tentar-furtar-fios-de-energia-diz-pm.ghtml&syn=False&key=83f1cfe05b70dd703c28caf2d70a058f
processo;1;bom;https://g1.globo.com/busca/click?q=energia&p=3&r=1748314180055&u=https%3A%2F%2Fg1.globo.com%2Fto%2Ftocantins%2Fnoticia%2F2025%2F05%2F26%2Fhomem-e-amarrado-com-cabos-de-energia-em-poste-suspeito-de-invadir-casa-e-tentar-furtar-fios-de-energia-diz-pm.ghtml&syn=False&key=83f1cfe05b70dd703c28caf2d70a058f
incêndio;3;ruim;https://g1.globo.com/busca/click?q=energia&p=3&r=1748314180055&u=https%3A%2F%2Fg1.globo.com%2Fto%2Ftocantins%2Fnoticia%2F2025%2F05%2F26%2Fhomem-e-amarrado-com-cabos-de-energia-em-poste-suspeito-de-invadir-casa-e-tentar-furtar-fios-de-energia-diz-pm.ghtml&syn=False&key=83f1cfe05b70dd703c28caf2d70a058f
fogo;2;ruim;https://g1.globo.com/busca/click?q=energia&p=3&r=1748314180055&u=https%3A%2F%2Fg1.globo.com%2Fto%2Ftocantins%2Fnoticia%2F2025%2F05%2F26%2Fhomem-e-amarrado-com-cabos-de-energia-em-poste-suspeito-de-invadir-casa-e-tentar-furtar-fios-de-energia-diz-pm.ghtml&syn=False&key=83f1cfe05b70dd703c28caf2d70a058f
norte;1;ruim;https://g1.globo.com/busca/click?q=energia&p=3&r=1748314180055&u=https%3A%2F%2Fg1.globo.com%2Fto%2Ftocantins%2Fnoticia%2F2025%2F05%2F26%2Fhomem-e-amarrado-com-cabos-de-energia-em-poste-suspeito-de-invadir-casa-e-tentar-furtar-fios-de-energia-diz-pm.ghtml&syn=False&key=83f1cfe05b70dd703c28caf2d70a058f
incidente;2;ruim;https://g1.globo.com/busca/click?q=energia&p=3&r=1748314180055&u=https%3A%2F%2Fg1.globo.com%2Fto%2Ftocantins%2Fnoticia%2F2025%2F05%2F26%2Fhomem-e-amarrado-com-cabos-de-energia-em-poste-suspeito-de-invadir-casa-e-tentar-furtar-fios-de-energia-diz-pm.ghtml&syn=False&key=83f1cfe05b70dd703c28caf2d70a058f
